Question,Choices,Answer,Explanation,Category
"A driver must park within the curb by putting the car in low gear and setting the parking brake for at least:

",A. 40 centimeters B. 35 centimeters C. 30 centimeters,C. 30 centimeters,"The answer ""30 centimeters"" can be quite confusing to a lot of people as handbrakes sizes varies on different vehicles. A good rule of thumb to consider is to pull it enough so the vehicle won't move down. After doing this, you can then put your car on low gear (if parked facing uphill) or reverse gear (if parked facing downhill).",Parking
"When are you permitted to double park?
",A. Never B. When the street or road is wide enough C. When you have no other option,A. Never,Never double park - it's illegal.,Parking
"Before moving your car from a parked position, you should:
","A. check other traffic, signal and pull from curb when it is safe to do so B. signal and pull from curb C. sound your horn and pull from curb slowly","A. check other traffic, signal and pull from curb when it is safe to do so
","Before leaving a parking space make sure to look around to see if there are any approaching vehicles, or pedestrians or cyclists.",Parking
"Never park or stop at the side of the road with a fire hydrant, you may only park with a distance of at least:",A. 3 meters B. 4 meters C. 5 meters,C. 5 meters,"Parking right front of fire hydrant is illegal and may subject the offender to a penalty of fine. If you need to park near a fire hydrant, do so with a distance of at least 5 meters.",Parking
"If you are parking uphill without a curb, turn the wheels towards the:
",A. edge of the street B. other side of the street C. middle of the street,A. edge of the street,"When parking on an uphill road, where there's no curb, you should always turn your wheels toward the side of the road.",Parking
You may never park:,A. on a crosswalk B. on a one-way street C. within 5-meters of a fire-hydrant,A. on a crosswalk,"Never park on crosswalks or pedestrian lanes. They should always remain clear and unobstructed especially when their green light is on. If you happen to stop on a crosswalk because of a red light, try to move forward or backward if possible so you could clear the crosswalk.",Parking
It is illegal to park:,A. within 2 meters of a fire hydrant and within 3 meters from the intersection B. within 4 meters of a fire hydrant and within 6 meters from the intersection C. within 5 meters of a fire hydrant and within 5 meters from the intersection,"B. within 4 meters of a fire hydrant and within 6 meters from the intersection
","While parking at 6 meters from the stop line of an intersection is legal; parking within 4 meters from a fire hydrant is illegal and may subject the offender to a penalty of fine. You need to park at least 5 meters from a fire hydrant for it to be legal.",Parking
A driver may load and unload passengers:,A. before an intersection B. whenever a passenger signals for a stop C. only at designated stops,C. only at designated stops,Here in the Philippines it has been the habit of motorists to load an unload passengers at the rightmost side of the road even though it's illegal a lot of times. It's best to load or unload on designated stops so you don't obstruct other road users behind you.,Parking
"When parking uphill and parallel to a sidewalk or curb, you should turn the wheel:",A. parallel with the sidewalk curb B. away from the sidewalk curb C. to the sidewalk curb,B. away from the sidewalk curb,Always turn wheels away from the sidewalk curb when parking uphill and parallel to the sidewalk. The wheel should gently touch the curb. The curb will help to stop the vehicle from rolling further especially incase your parking brakes fail.,Parking
"When parking downhill, you should turn your front wheels:
",A. toward the curb of the sidewalk B. away from the curb C. any direction will do,A. toward the curb of the sidewalk,When parking downhill always turn wheels away from the sidewalk curb. The wheel should gently touch the curb. The curb will help to stop the vehicle from rolling forward especially in case your parking brakes fail.,Parking
What light shall be used when vehicles are parked on the highway at night?,A. Headlight B. Parking lights or lower-beam headlights C. Signal lights,B. Parking lights or lower-beam headlights,"When parking at night make sure to turn your parking lights on to let other road users know that you are parked. Observe road courtesy, too, by parking your vehicle at designated bays so you won't obstruct other vehicles.",Parking
"When you are parked at the side of the road at night, you must:",A. warn others by turning on your 4 way emergency flashers B. be sure to stay awake and ready to move C. warn others by turning on your headlights,"A. warn others by turning on your 4 way emergency flashers

","Hazard lights is also referred to as 4 way emergency flashers. If you need to park on the side of the road, turn on your hazard lights so you can warn other road users.",Parking
"Parking is prohibited:
",A. within a commercial premises B. within an intersection C. within a one-way road,B. within an intersection,Never park within an intersection. When parking at any intersection be sure to have a distance of at least 6 meters between your car and the intersection stop line.,Parking
"The vehicle is parked if:
",A. the vehicle is stationary and remains inactive in a place for an appreciable period of time B. The vehicle is not moving while loading passengers in C. The vehicle is not moving while unloading passengers,A. the vehicle is stationary and remains inactive in a place for an appreciable period of time,You might mistake a passenger loading and unloading vehicle for a parked one. This could be dangerous especially when making a turn in front of them. If unsure you can blow your horn and cautiously make the turn.,Parking
"If two vehicles approach or enter an intersection at approximately the same time, which vehicle has the right of way?
",A. The vehicle on the left B. The first one to arrive C. The vehicle on the right,C. The vehicle on the right,In the image the vehicle on the right is turning left so he has the right of way.,Road Position
"Before changing lanes on a highway, you must give a signal for at least:",A. 1 minute before doing it B. 10 seconds before doing it C. 5 minutes before doing it,B. 10 seconds before doing it,"Make sure to give a signal for at least ten seconds before changing lanes on a highway.",Road Position
"When following behind another car, it is considered a safe rule to allow at least:",A. one car length per 20 mph or 30 kph speed B. one car length per 30 mph or 40 kph speed C. one car length per 10 mph or 20 kph. speed,"C. one car length per 10 mph or 20 kph. speed
","This was an old rule of thumb decreeing that for every 10 mph of speed the following distance should be one car length. At 20 mph, following distance would be two car lengths, and six car lengths at 60 mph. This gave way to the more scientific 2-second and 3-second rule later on.",Road Position
"When riding with a group of motorcycle riders, a staggered formation:
",A. is not recommended at all times B. is recommended at all times C. is very unsafe,B. is recommended at all times,Staggered riding formation allows a proper space cushion between motorcycles so that each rider has enough time and space to maneuver and to react to hazards.,Road Position
"Where do you have to stop at a traffic light?
",A. Stop before and close to the stop line B. Stop at least 1 meter before the stop line C. Stop after and close to the stop line,A. Stop before and close to the stop line,"At any intersection with a traffic light all vehicles must stop before the stop line.",Road Position
What should you do when approaching a curve?,A. Speed up B. Slow down C. Abruptly push the brake,B. Slow down,When approaching a curve be sure to slow down whether the curve is sharp or not to ensure that you stay in your lane.,Road Position
"When two vehicles meet on a gradient road where neither cars pass, which of the two must yield?",A. The vehicle going downhill B. The vehicle going uphill C. The vehicle that honks its horn first,A. The vehicle going downhill,It's easier to accelerate on downhill roads than uphill roads so vehicles going downhill must yield to vehicles going uphill.,Road Position
Traffic jam can be prevented if you:,A. keep opposing lanes open B. drive within speed limit C. drive faster,A. keep opposing lanes open,"Traffic jam has many causes. It can be a road accident, high vehicle volume, parades, undisciplined drivers, buses, jeepneys, etc. In this question the only correct answer left is ""keep opposing lanes open"" because blocking any lane regardless if it's the opposing or not will cause traffic jam...obviously. But who actually blocks an opposing lane? The only way to really block it is to make a counter flow, or park your vehicle in the opposing lane. And both of these actions are illegal to begin with, yet many undiscplined drivers do this without getting caught.",Road Position
"When on a street designed for two-way traffic, you hear the siren of an emergency vehicle. What does the law require you to do?",A. Pull to the right and stop B. Speed up to get out of the way C. Continue at high speed,A. Pull to the right and stop,When you hear and see an ambulance or police vehicle with siren approaching behind you you should move to the right lane and stop if necessary to let them pass.,Road Position
"If the driver of a vehicle in front of you is giving a hand signal by pointing his left hand upwards he will:
",A. Turn left B. Stop C. Turn right,C. Turn right,"When a driver in front of you is pointing his left arm and hand upwards, this is a signal that he is about to turn right.",Road Position
You should change lanes only after you have:,A. signaled your intention and checked traffic B. signaled your intention C. checked traffic,A. signaled your intention and checked traffic,"Before changing lanes make sure to give proper signal first.",Road Position
The Right-of-Way law provides us with:,A. basic rights as drivers B. rules for when to yield to others C. rules for turning right,"B. rules for when to yield to others
","Failure to give right of way could result in a fine of Php 1,000. However, our local traffic enforcement has been very lenient in implement this rule together with the other heaps of traffic rules. I hope when you hit the road that you'll be one of the few responsible and courteous drivers here in the Philippines.",Road Position
Should a driver turning at an intersection give way to pedestrians?,"A. No pedestrians must give way to all vehicles B. Yes, a driver turning right or left must give way to pedestrians C. Yes, but only if the driver is turning left","B. Yes, a driver turning right or left must give way to pedestrians
",All vehicles turning either left or right must give way to pedestrians especially if there's a crosswalk.,Road Position
"At an intersection without control device, two cars are approaching from opposite direction at approximately the same time, one is turning left and the other turning right. Which driver must yield?
",A. The driver turning right B. The driver turning left C. The driver who gets there first,"B. The driver turning left

","At an intersection without any control device or traffic light where two cars are approaching from opposite directions the driver turning left must give way to the driver turning right. Hence the driver turning right has the right-of-way.",Road Position
"When about to make a left turn, you should give the right-of-way to cars coming from the opposite direction:",A. until at least two cars have passed B. which are close enough to be dangerous C. until five cars have passed,B. which are close enough to be dangerous,When turning left you must yield to vehicles moving toward the opposite direction first then proceed when it is safe to do so.,Road Position
"When driving on the highway at night, you should use low beam headlights (dim lights) when:",A. another driver dims his lights B. blinded by the headlights of an approaching vehicle C. all of the above,"C. all of the above

","Part of common road courtesy is to dim your lights when you see another driver blinded by your headlights. If they dim their headlight it means they are dazzled by yours so dim your headlights, too.",Road Position
The proper hand signal for a left turn is:,A. left arm straight in horizontal position B. left arm straight in vertical position C. right arm straight in horizontal position,A. left arm straight in horizontal position,"When a driver in front of you is pointing his left arm and hand to the left, this is a signal that he is about to turn left.",Road Position
It is not a safe place to overtake in an/a:,A. intersection and when approaching a bridge or a curve B. high speed road C. two lane road,A. intersection and when approaching a bridge or a curve,"Never overtake in an intersection, or when you are about to climb a bridge or Skyway that has no opposite lane dividers because oncoming vehicles on top of the Skyway would not be visible.",Road Position
"If the brake light of the vehicle in front of you is lit up, you should:",A. depress the horn B. turn right or left C. prepare to push the brake,C. prepare to push the brake,"A lit brakelight is an indication for following vehicles that the vehicle in front has applied the brake, so be ready to push the brake when you see it.",Road Position
"If the vehicle's headlight in front of you is blinding your eyes, what should you do?",A. Quickly look on the right side of the road B. Look at the glaring light C. Put your headlight on high also,A. Quickly look on the right side of the road,"If the driver of an oncoming vehicle fails to dim his headlights, look down toward the right side of the road to avoid being blinded.",Road Position
What should you do to combat fatigue and sleepiness during long road trip?,A. Stop every once in a while and rest B. Drink medicine that will prevent sleepiness C. Drink alcohol,"A. Stop every once in a while and rest
","If you are driving, the best and safest thing to do if you are fatigued and sleepy is to pull over to get some sleep. You may want to sip some coffee, too, once awake before heading back to the road.",Road Position
"Being passed is normal part of driving and should not be taken as an insult to one’s ability, you should:
",A. maintain your speed B. slow down and make it easy to stop C. turn hazard lights to be seen,B. slow down and make it easy to stop,"Driving is not a competition. If you are driving with slow or moderate speed to start with be sure to give way or even slow down if necessary to give way to drivers that wants to overtake.",Road Position
The owner of a privately registered motor vehicle to be utilized for hire in the carriage of cargoes or passengers is penalized by:,"A. a fine of P2,000 and confiscation of vehicle plates B. a fine of P300 C. confiscation of motor vehicle plates","A. a fine of P2,000 and confiscation of vehicle plates
","Under JAO 2014-01, operators of colorum vehicles are fined the following: P1 million for buses; PUVs including public utility trucks, P200,000; P50,000 for jeepneys; P200,000 for vans; P120,000 for sedans; and P6,000 for motorcycles.",Violations and Penalties
"It refers to the equipment which can be determine the BAC level of a person through testing of his breath.
",A. alcohol tester B. alcohol breather C. alcohol breath analyzer,C. alcohol breath analyzer,Alcohol breath analyzer is also referred to as Breathalyzer.,Violations and Penalties
The hostile and arrogant attitude of a driver towards a person in the authority or passenger in a public utility vehicle is punishable by:,A. a fine of Php 500 and suspension of driver's license B. imprisonment of six months C. suspension of license for one month,A. a fine of Php 500 and suspension of driver's license,PUV and PUJ drivers must show respect your passengers and traffic enforcers. Failure to do so could result into a fine of Php 500 plus 2-month suspension of your driver's license especially if you are reported by a passenger or a traffic enforcer.,Violations and Penalties
A driver caught driving an unregistered motor vehicle will be penalized by:,"A. fine of 5,000 Php B. suspension of his driver's license for one month C. a fine of 10,000 Php","C. a fine of 10,000 Php","Never drive an unregistered vehicle. Doing so may result to a fine of Php 10,000. Worse still, if the non-registration exceeded one month, the vehicle will be impounded and released only once the vehicle has been registered and the corresponding fines and penalties have been paid.",Violations and Penalties
"You were apprehended because you were engaged in car racing while driving in a super highway, what traffic violation did you commit?",A. Reckless driving B. Gambling C. Overspeeding,A. Reckless driving,"To be penalized with ""Reckless Driving"" is actually outdated. Presidential Decree No. 1865 states that the penalty for speed contests and rallies without official permit is as follows: ""Any person who commits any act herein prohibited shall, upon conviction, be punished with a fine of not less than ₱20,000 but not more than ₱50,000, or imprisonment of at least two years but not more than five years, or both, in the discretion of the court.""",Violations and Penalties
"It refers to the act of operating a motor vehicle while the driver’s BAC level has, after being subjected to an ABA test, reached the level of intoxication as established jointly by the DOH, the NAPOLCOM and the DOTC.

",A. driving under the influence of alcohol B. reckless driving C. careless driving,A. driving under the influence of alcohol,"R.A. no. 10586 is also known as an Act Penalizing Persons Driving Under the Influence of Alcohol, Dangerous Drugs, and Other Similar Substances.
",Violations and Penalties
"A driver caught driving with an expired license is penalized by:

",A. a fine of Php 500 and suspension for one month B. a fine of Php 100 C. a fine of Php 400,C. a fine of Php 400,"A driver's license validity lasts for 3 years, and the exact expiration date is the same as the owner's birth date to make it easier to remember and renew it's registration.",Violations and Penalties
"If the driver is using a motor vehicle in committing a crime and is convicted, his driver’s license shall be:
",A. revokes and will pay a fine B. confiscated and will pay fine C. suspended and will pay fine,A. revokes and will pay a fine,The director of LTO has the authority to either suspend or revoke your driver's license depending on the gravity of the series of violations you've committed within in a period of one year.,Violations and Penalties
Driving with a fake license is prohibited and is punishable by:,"A. Not more than 6 months of imprisonment B. Php 2,000.00 fine C. Php 3,000.00 fine with 12-month suspension of driver's license","C. Php 3,000.00 fine with 12-month suspension of driver's license","It is illegal to use a fake driver's license. You need to have a driver's license from LTO to be able to drive.",Violations and Penalties
"It refers to alcoholic beverages classified into beer, wine and distilled spirits, the consumption of which produces intoxication.",A. coffee B. alcohol C. softdrinks,B. alcohol,This is pretty self explanatory. Don't drink and drive.,Violations and Penalties
The license of a driver who has been convicted for at least three times within a 12 month period may be revoked or suspended by the Director for:,A. period not exceeding two years B. three years C. lifetime,"A. period not exceeding two years
","The director of LTO has the authority to either suspend or revoke your driver's license depending on the gravity of the series of violations you've committed within in a period of one year.",Violations and Penalties
It refers to standardized tests to initially assess and determine intoxication.,A. field sobriety test B. field alcohol test C. field intoxication test,A. field sobriety test,"Provision for this law can be found in R.A. no. 10586. Also known as an Act Penalizing Persons Driving Under the Influence of Alcohol, Dangerous Drugs, and Other Similar Substances.",Violations and Penalties
"Those who are caught under the influence of prohibited drugs or alcohol while driving shall be penalized with:
",A. Both answers are correct B. suspension of license C. fines or jail time,A. Both answers are correct,Driving under the influence of alcohol or illegal drugs is extremely dangerous and is punishable by law.,Violations and Penalties
"It shall mean that the LEO has reasonable ground to believe that the person driving the motor vehicle is under the influence of alcohol, dangerous drugs and/or other similar substances upon personally witnessing a traffic offense committed.
",A. improbable cause B. probable cause C. likely cause,B. probable cause,"Conduct of Field Sobriety, Chemical and Confirmatory Tests. – A law enforcement officer who has probable cause to believe that a person is driving under the influence of alcohol, dangerous drugs and/or other similar substances by apparent indications and manifestations, including overspeeding, weaving, lane straddling, sudden stops, swerving, poor coordination or the evident smell of alcohol in a person’s breath or signs of use of dangerous drugs and other similar substances, shall conduct field sobriety tests.",Violations and Penalties
"You were flagged down due to noisy muffler of your motorcycle, what will you do?",A. Bribe the traffic enforcer B. Reinstall the stock muffler of your motorcycle C. Pay the violation fee,B. Reinstall the stock muffler of your motorcycle,"You need to pay the violation fee and fix your muffler so it isn't noisy.",Violations and Penalties
How many days are given for you to settle the case to get your license back if you get caught?,A. 15 days B. 30 days C. 10 days,A. 15 days,"An apprehended driver can settle his case within 15 days from the date of apprehension provided the apprehension is reported and encoded in the LTO-IT system. If the apprehended driver failed to settle his case within 15 days from the date of apprehension, it will cause the suspension or revocation of his driver’s license.",Violations and Penalties
"It refers to an act penalizing person under the influence of alcohol, dangerous drugs, and similar substances, and for other purpose.

",A. R.A. no. 10586 B. R.A. no. 10585 C. R.A. no. 10584,A. R.A. no. 10586,"R.A. no. 10586 is also known as an Act Penalizing Persons Driving Under the Influence of Alcohol, Dangerous Drugs, and Other Similar Substances.",Violations and Penalties
"A type of field sobriety test that requires the driver to walk heel-to-toe along a straight line for nine (9) steps, turn at the end and return to the point of origin without any difficulty. What is this test called?
",A. The Cat-walk Test B. The Walk of Shame Test C. The Walk-and-turn,"C. The Walk-and-turn
","Field sobriety tests refer to standardized tests to initially assess and determine intoxication, such as the horizontal gaze nystagmus, the walk-and-turn, the one-leg stand, and other similar tests as determined jointly by the DOH, the NAPOLCOM and the DOTC.",Violations and Penalties
"A privately registered car utilized for hire and carriage of passengers or cargoes is a colorum vehicle and is prohibited by law. Drivers caught operating such vehicle for the first time is penalized by:
","A. a fine of Php 2,000 and suspension of his driver's license for three months B. cancellation of his driver's license C. a fine of Php 500","A. a fine of Php 2,000 and suspension of his driver's license for three months

","Never use a privately registered vehicle for hire to transport cargoes or passengers. If you plan to use it to carry passengers or cargoes, you've got to make sure that it's properly registered with the LTFRB (Land Transportation Franchising and Regulatory Board) and LTO (Land Transportation Office).
",Violations and Penalties
